HITId,tweet,sentiment,directness,annotator_sentiment,target,group
20,What measures you should opt for to keep the premises of your \ud83c\udfe2 office kitchen and break/lunch rooms \ud83e\uddf9 spic &amp; span\u2026 @URL,offensive,indirect,confusion_indifference,other,special_needs
21,@user @user Economic asylum isn\u2019t a thing. Neither is \u201cmy country is a shithole\u201d asylum. \n\nHow m\u2026 @URL,abusive_offensive_hateful_disrespectful_normal,indirect,confusion_indifference,origin,other
22,retarded toxic femininity \ud83d\ude2a @URL,offensive,indirect,confusion_indifference,gender,women
23,man i leave for one week and the first twat to nut on this,abusive_offensive_hateful_disrespectful_normal,indirect,confusion_indifference,other,women
24,Scomo the biggest faggot in Madden history\ud83d\ude02\ud83d\ude02\ud83d\ude02he just bashes everyone who has anything to do with Madden because he\u2026 @URL,offensive,indirect,anger_confusion,sexual_orientation,other
25,Now Trump hate the jews lmfao ya niggas are full retard. You know he work for @user and @user right? An\u2026 @URL,offensive,indirect,sadness_indifference,disability,special_needs
26,@user @user Honduras Guatemala??? Would these be considered shithole countries as well?,offensive,indirect,sadness_indifference,origin,other
27,dawg rondo is fucking retarded,offensive,indirect,sadness_indifference,origin,other
28,get it because they\u2019re dead because communist is literally retard mode,offensive,indirect,indifference_disgust,disability,special_needs
29,@user Welcome to the twitter club known as.. you've been reported by a far left retarded cry baby..!\u2026 @URL,offensive_hateful,indirect,indifference_disgust,disability,special_needs
30,Damn right mfs retarded @URL,offensive,indirect,fear_indifference,other,other
31,@user What the fuck suicide is male prostitute rubbish chinaman lee hsien loong imagining having his rubb\u2026 @URL,abusive_offensive,indirect,fear_indifference,origin,individual
32,cum in eye ball faggot dickhead fucking cunt slut cakes,offensive,indirect,fear_indifference,gender,women
33,no matter how hard i try i will always be retarded in math,fearful_offensive_hateful_disrespectful_normal,indirect,anger_fear_indifference_sadness_disgust,disability,special_needs
34,@user Now do it ching chong style,offensive,indirect,anger_fear_indifference_sadness_disgust,origin,other
35,Come serve me faggots. My messages are open. Looking for a new faggot to fill a space in my wallet. #findom @URL,offensive,indirect,anger_fear_indifference_sadness_disgust,sexual_orientation,indian/hindu
36,I swear my boyfriend is partially retarded at times,fearful_abusive_offensive_hateful_normal,direct,anger_fear_indifference_sadness_disgust,disability,individual
37,If I was there this cunt would not be walking away @URL,offensive,indirect,anger_fear_indifference_sadness_disgust,gender,individual
38,@user Yes retarded not me your leader the paper tiger.,hateful,direct,anger_fear_indifference_sadness_disgust,disability,special_needs
39,Selling all my dvds Hahahaha the shop is gonna hate me but the woman at the counter is a mongy cunt anyway so deser\u2026 @URL,fearful_abusive_offensive_hateful_normal,indirect,anger_fear_indifference_sadness_disgust,disability,women
40,I\u2019m so done dealing with little bitches. Grow a fucking pair cunt.,normal,direct,anger_fear_indifference_sadness_disgust,gender,women
41,Cmon Machado you fucking mongoloid,offensive,indirect,anger_confusion_sadness_indifference_disgust,disability,other
42,These r \shithole\ countries cuz American &amp; European imperialist capitalism helped make them so...+ failing War on\u2026 @URL,offensive,indirect,sadness_disgust,origin,other
43,@user feminazi detected,offensive,indirect,anger_confusion_sadness_indifference_disgust,gender,women
44,@user So many dead and illegal aliens will vote blue in November dems aren’t worried,offensive,indirect,anger_confusion_sadness_indifference_disgust,origin,special_needs
45,@user u are my dad fucking retard,offensive_disrespectful,direct,indifference_disgust,disability,special_needs
46,&gt;If they aren't people and don't truly matter why does even one being retarded hold so much importance\n\nThey don't\u2026 @URL,fearful_abusive,indirect,indifference_disgust,disability,special_needs
47,I feel so retarded why cant I just do it,offensive,indirect,sadness_indifference,disability,special_needs
48,My baby daddy a retarded bitch,offensive,indirect,sadness_disgust,disability,special_needs
49,@user it's not fair nigger!,fearful_abusive_offensive_disrespectful_normal,indirect,sadness_disgust,origin,african_descent
50,@user They really want to turn this country into a shithole. Not going to happen.,offensive,indirect,indifference_disgust,other,other
51,The #DoDamage slogan is so unbelievably stupid. It\u2019s every offense\u2019s goal to do damage. It gives mongoloid Boston f\u2026 @URL,fearful_abusive_offensive_hateful_disrespectful,indirect,shock_indifference,disability,special_needs
52,@user These so called shithole countries by Trump .,offensive,indirect,indifference_disgust,other,other
53,Mr Drabu what a snobby twat you are! @URL,offensive,direct,anger_indifference,other,individual
54,@user @user in second grade i was called a dirty jew by another second grade girl. made no sense to me… @URL,offensive,indirect,shock_indifference,religion,jews
55,My grandma called me a faggot today that\u2019s a new low,abusive_offensive_hateful_disrespectful_normal,indirect,anger_confusion_sadness_shock_indifference,sexual_orientation,other
56,I literally waited at a red light for five minutes I'm such a fucking retard,offensive,indirect,anger_confusion_sadness_shock_indifference,disability,women
57,@user .... What no Roofe pen either?\n\nFuck off cunt.\n\nWe did more than enough to win that game. Fact we're takin\u2026 @URL,abusive_hateful,indirect,anger_fear_shock_sadness_disgust,other,women
58,@user Sure except for directly quoting Trump\u2019s \u201cshithole countries.\u201d,disrespectful_normal,indirect,anger_confusion_sadness_shock_indifference,other,other
59,Let them rot in the shithole they chose. Never ever ever let them near our country @URL,fearful_abusive_disrespectful_hateful_normal,indirect,anger_confusion_sadness_shock_indifference,origin,refugees
60,So because I\u2019m not looking to be in a relationship means I\u2019m trying hoe around ? \ud83d\ude02\ud83d\ude02\ud83d\ude02 the retard juice is strong,offensive,indirect,anger_confusion_sadness_shock_indifference,disability,special_needs
61,carrying retard boy @user @URL,offensive,indirect,confusion_fear_shock_indifference_sadness,gender,special_needs
62,@user @user @user Babe Ruth was a dirty jew,hateful,direct,confusion_fear_shock_indifference_sadness,origin,jews
63,When people get offended by insults and jokes with words like retarded autistic faggot etc. @URL,offensive,indirect,confusion_fear_shock_indifference_sadness,other,special_needs
64,Keep in mind.. that just because you call me a faggot in Spanish doesn\u2019t mean I can\u2019t still understand you.,offensive,indirect,confusion_fear_shock_indifference_sadness,origin,special_needs
65,@user @user Pretty much hes a little dick faggot that needs his ass beat for a reality check that he ain't shit,offensive_hateful,direct,confusion_fear_shock_indifference_sadness,sexual_orientation,individual
66,@user A retard.,offensive,direct,confusion_fear_shock_indifference_sadness,disability,special_needs
67,@user no if i was treating you like i treat dengists i'd probably say \read a book retard\ post a few b\u2026 @URL,offensive,indirect,confusion_fear_shock_indifference_sadness,other,special_needs
68,@user Not gonna happen until retarded traders get their etf approval,abusive_offensive,indirect,confusion_fear_shock_indifference_sadness,disability,special_needs
69,Fat mongy mess today \ud83e\udd15\ud83e\udd15,fearful_offensive_hateful_disrespectful_normal,indirect,anger_confusion_sadness_shock_disgust,other,other
70,okay but really why are Americans so fucking mongy @URL,offensive,indirect,anger_confusion_sadness_shock_disgust,disability,special_needs
71,what the fuck is this ching chong siopao dimsum shit sa question 3 ???? cant understand cant c o n t e x t u a l i z e kasi it is so vague,offensive_hateful,direct,anger_confusion_sadness_shock_disgust,origin,women
72,anyways harry styles could call me a dirty spic and id still munch on his asshole with no shame,fearful_abusive_offensive_hateful_normal,direct,anger_sadness_shock_indifference_disgust,origin,other
73,What a cunt. @user Will you report him for blasphemy? @user @URL,offensive,indirect,anger_sadness_shock_indifference_disgust,gender,women
74,My kids better live in my balls than in this shithole country.,offensive,indirect,anger_sadness,origin,special_needs
75,@user \u201cYou smell like you farted arted ab honor roll all f\u2019s you retarded\u201d,offensive,indirect,anger_sadness,disability,special_needs
76,saddest anime cus if not he's retarded,fearful_abusive_offensive_disrespectful_normal,indirect,anger_indifference,disability,special_needs
77,It's always the Liberals that threaten that \I'm a spic and will be deported\ for supporting Trump. @URL,fearful_offensive_hateful_normal,indirect,anger_indifference,other,other
78,@user @user Both. A skilled human driver can save both but a retarded \AI\ is not up to the job yet. These com\u2026 @URL,offensive,indirect,anger_indifference,disability,special_needs
79,@user I gotta pick a Spanish myself cus I can't have my spic ass family butchering my baby's name lmao,abusive_disrespectful,indirect,anger_confusion_fear_shock_sadness,origin,other
80,went passed that fancy dress shop at southside n there\u2019s actual fucking bouncers outside ya cunt imagine being kb\u2019d\u2026 @URL,normal,direct,confusion_fear_shock_sadness_disgust,gender,special_needs
81,@user Trump would press it just to win an argument over \shithole\ countries. I'm sure the adults won't le\u2026 @URL,offensive,indirect,confusion_fear_indifference_sadness_disgust,origin,other
82,@user @user Pretty sure he called me a spic four times over already,offensive_normal,indirect,anger_sadness_shock_indifference_disgust,origin,indian/hindu
83,@user It went full retard,offensive,indirect,anger_sadness_shock_indifference_disgust,disability,special_needs
84,@user @user Yeah as long as West ham fans are ok .fuking retard,offensive_hateful,indirect,anger_sadness_shock_indifference_disgust,disability,women
85,@user @user @user Trump is an orange Presbyterian you mongoloid.,offensive,indirect,anger_sadness,origin,individual
86,@user @user @user What\nSkip is funny as fuck I love him. He\u2019s just a retard but he\u2019s a legend,offensive,indirect,sadness_indifference,origin,special_needs
87,@user ching ching chong rootbox ohhh i got my youtube money!!!,offensive_normal,indirect,sadness_indifference,origin,individual
88,Britain 2018. Third World shithole.\n\nA country in which Sharia leaders can cut off the clitorises of baby girls wi\u2026 @URL,offensive,indirect,sadness_indifference,origin,other
89,just found out that everyones origins are from africa am I aloud to say nigger? #nohatejustasking,offensive,indirect,anger_sadness_shock_indifference_disgust,origin,hispanics
90,24 Hours in Swakopmund Namibia #travel #africa #ttot @URL,normal,indirect,anger_sadness_shock_indifference_disgust,origin,other
91,these old lesbians called me a baby dyke i am: offended. i\u2019m 24,offensive,indirect,anger_sadness_shock_indifference_disgust,sexual_orientation,other
92,@user I agree totally. If the word retarded wasn't politically incorrect that's what I would call Dave Roberts,offensive,direct,anger_sadness_shock_indifference_disgust,disability,special_needs
93,Dave Roberts is a certified retard,fearful_offensive_hateful_disrespectful_normal,indirect,anger_sadness_shock_indifference_disgust,disability,special_needs
94,@user Fuckin retard,abusive_hateful,direct,anger_sadness_shock_indifference_disgust,disability,special_needs
95,nyc is a shithole country in of itself my god how quickly they destroyed what rudy did to build shameless @URL,fearful_normal,indirect,anger_sadness_shock_indifference_disgust,other,other
96,@user well my parents like\n'carikla ching chong guy in your college',offensive,indirect,anger_fear_indifference_sadness_disgust,origin,asians
97,@user @user I look like a dyke bruh \ud83d\ude2d,normal,indirect,anger_fear_indifference_sadness_disgust,sexual_orientation,women
98,@user i look retarded,hateful_disrespectful,indirect,shock_disgust,disability,special_needs
99,Bald twat. \n\nHe can't do anything about a tie!! @URL,offensive,indirect,confusion_shock_disgust_anger_fear_indifference,gender,women
100,pl is a faggot,offensive,indirect,confusion_shock_disgust_anger_fear_indifference,sexual_orientation,special_needs
101,So damn retarded \ud83e\udd26\ud83c\udffd\u200d\u2642\ufe0f,hateful,indirect,confusion_shock_disgust_anger_fear_indifference,disability,special_needs
102,I think (late) immigrants from Africa are more likely to succeed in America than black Americans.,offensive_normal,indirect,confusion_shock_disgust_anger_fear_indifference,origin,immigrants
103,Y\u2019all Niggas Gay be doing hella faggot ass shit,abusive_hateful,indirect,confusion_shock_disgust_anger_fear_indifference,sexual_orientation,left_wing_people
104,@user Yup pretty much. I'm leaving this shithole of a country.,offensive,indirect,confusion_shock_disgust_anger_fear_indifference,origin,other
105,it truly fucking BAFFLES me when people genuinely fucking think that saying \u201cching chong ling lang ding\u201d is actuall\u2026 @URL,normal,indirect,confusion_shock_disgust_anger_fear_indifference,origin,muslims
106,@user Saying raghead and goat in one tweet is insta-follow by my standards\ud83e\udd23\ud83e\udd23\ud83e\udd23\ud83d\ude1c,offensive,indirect,confusion_shock_disgust_anger_fear_indifference,origin,other
107,@user @user Shut up retard \ud83d\ude02,offensive,indirect,confusion_shock_disgust_anger_fear_indifference,disability,special_needs
108,men are fucking retarded,offensive,indirect,anger_indifference,gender,other
109,Learn how to speak ching chong — um why @URL,offensive,indirect,confusion_shock_disgust_anger_fear_indifference,origin,individual
110,@user @user @user @user Hildebrand is a twat pure and simple.,offensive,indirect,confusion_shock_disgust_anger_fear_indifference,gender,women
111,@user @user Will you be explaining why you defend illegal aliens over citizens? @URL,disrespectful_normal,indirect,anger_confusion_sadness_shock_indifference,origin,refugees
112,@user this spic has got his eye on all of u ingrates,offensive,indirect,anger_confusion_sadness_shock_indifference,origin,other
113,Thete was no nrrd to call Corina a cunt! No need!!,offensive,indirect,anger_confusion_sadness_shock_indifference,other,women
114,@user talk to her then retard,abusive_offensive,indirect,anger_confusion_sadness_shock_indifference,disability,special_needs
115,@user Of course the feminazi's will roll one out after the other. What frauds!,fearful_abusive_offensive_hateful_disrespectful,direct,anger_fear,gender,women
116,@user Fuck that defector.\nLA is a garbage town with a garbage fanbase.\nAlso fuck that ginger-bearded twat Turner.,offensive,indirect,anger_fear,origin,women
117,This S.O.B retard is the most dangerous asshole on the planet! Shame on you you Brasil! @URL,offensive,indirect,anger_sadness_shock_indifference_disgust,disability,special_needs
118,@user @user spic polach,offensive_hateful,indirect,anger_sadness_shock_indifference_disgust,origin,hispanics
119,@user @user @user That family has reached full retard @URL,offensive,indirect,anger_sadness_shock_indifference_disgust,disability,special_needs
120,A feminist just called me a fat twat.,abusive_hateful,indirect,anger_sadness_shock_indifference_disgust,gender,other
121,LOL you know what i mean! nigger got caught again. @URL,offensive,indirect,anger_sadness_shock_indifference_disgust,origin,special_needs
122,You are Alec :) \u2014 You are retarded (: @URL,offensive,indirect,confusion_indifference,other,other
123,oh well i try so hard to be his shithole countries-maybe someday that will happen!,offensive,indirect,confusion_indifference,origin,other
124,@user Nigga it started lagging so we left retard,offensive,indirect,confusion_indifference,origin,special_needs
125,omg tea! using these terms can hurt and offend and if you used any of these sorry and idc but you\u2019re retarded \ud83d\ude10\u2728 @URL,normal,indirect,indifference_disgust,disability,special_needs
126,Remember I’m a negro my open mind got a skin door-Wayne,normal,indirect,indifference_disgust,origin,refugees
127,All exams passed at collage now thank fuck never have to go into that mongy place again cheeky pay rise just before\u2026 @URL,fearful_offensive_disrespectful_hateful_normal,indirect,indifference_disgust,disability,other
128,@user @user I love you negro!!!!,hateful_disrespectful,indirect,anger_confusion_fear_disgust,origin,individual
129,i altered my original dyke-esque costume to b slutty bc tristan inspires me to b a whore n now he's not eve n going\u2026 @URL,offensive,indirect,anger_confusion_fear_disgust,sexual_orientation,women
130,@user hes burning a funko pop like a mongoloid,offensive,indirect,anger_confusion_fear_disgust,origin,special_needs
131,and my mom was like ching chong bing bong we're eating the bird for dinner,offensive,indirect,anger_confusion_fear_shock_indifference,origin,other
132,Keep in mind I’m a negro/so my open mind got a screen door! #Impressive #CarterV,fearful_abusive_offensive_hateful_normal,indirect,anger_confusion_sadness_indifference_disgust,other,special_needs
133,@user @user @user @user @user You're skipping over the shithole cities. \nDetro\u2026 @URL,fearful_abusive_offensive_hateful_normal,indirect,anger_confusion_sadness_indifference_disgust,origin,immigrants
134,You truely are a little mongy! \ud83e\udd23\ud83d\ude48\ud83d\udc4d\ud83c\udffb. \ud83d\udc47\ud83c\udffb @URL,offensive,indirect,anger_confusion_sadness_indifference_disgust,origin,individual
135,@user Girl I give you 3 days before twitter is a cunt and puts your ass in lockup again. @URL,offensive,indirect,anger_confusion_sadness_indifference_disgust,origin,women
136,Somebody tell faggot ass Poe to square up. Not show up with 17 dick riders,offensive,direct,anger_confusion_sadness_indifference_disgust,sexual_orientation,individual
137,I would beat the chink out of this faggot @URL,offensive,indirect,anger_fear_shock_sadness_disgust,disability,individual
138,@user The bonge always going full retard. @URL,abusive_offensive_hateful_disrespectful_normal,indirect,anger_confusion_shock_indifference_disgust,disability,special_needs
139,If you want to prove to all who know you just how big a cunt you can be....shoot &amp; kill a sleeping lion that\u2019ll do\u2026 @URL,normal,indirect,anger_confusion_shock_indifference_disgust,other,special_needs
140,@URL debating the different economic systems or models don't go full retard by claiming hy\u2026 @URL,offensive,indirect,anger_confusion_shock_indifference_disgust,disability,special_needs
141,The gator chomp is the most faggot shit I\u2019ve ever seen in my life.,offensive,indirect,anger_confusion_shock_indifference_disgust,sexual_orientation,other
142,Unreal crawling into bed after a 13 hour nightshift and then next doors yappy little cunt off a dog wakes up \ud83d\ude44,disrespectful_normal,indirect,anger_confusion_shock_indifference_disgust,other,women
143,Etes-vous d’accord avec Bernard Kouchner qui dit que « nous devrions prendre plus de migrants » @URL,normal,indirect,anger_confusion_shock_indifference_disgust,other,other
144,@user Think a lil I corrected you what are you on about your so fucking retarded I\u2019m losing brain cells\u2026 @URL,abusive_hateful,direct,anger_confusion_shock_indifference_disgust,disability,special_needs
145,@user @user @user At first I thought it was a leftist Muslim terrorist. I am wrong. We nee\u2026 @URL,offensive,indirect,anger_indifference,religion,other
146,\Here\\n\nI am two parts/a person\nboricua/spic\npast and present\nalive and oppressed\ngiven a cultural beauty\n. . . and\u2026 @URL,offensive,indirect,anger_indifference,other,other
147,I really dig stories of immigrants coming to USA and making a killing that shit inspiring fr.,offensive,indirect,anger_indifference,origin,immigrants
148,Why wasn\u2019t there this much interest in the Benghazi murders? Don\u2019t EVEN care about this raghead.journalist? Nah gun\u2026 @URL,offensive,indirect,anger_indifference,origin,arabs
149,And this was tweeted after that last one. Doubling down on being a cunt. @URL,offensive,indirect,shock_disgust,gender,women
150,@user Not got the bollocks to put your name or face to this tweet though have you? Pathetic cunt.,offensive,indirect,anger_confusion_shock_indifference_disgust,gender,women
151,Dan Fife is the biggest retard in Laconia and it\u2019s not even close.,offensive,indirect,anger_confusion_shock_indifference_disgust,disability,special_needs
152,Are United gonna ruin my fuckin Sunday or what? Lukaku better get dropped the shit cunt.,offensive,indirect,anger_confusion_shock_indifference_disgust,gender,women
153,@user @user All i see is ching chong,offensive,indirect,anger_confusion_shock_indifference_disgust,origin,other
154,What a fucking faggot @URL,offensive,direct,anger_disgust,sexual_orientation,other
155,So. Jonathan Chait is retarded? @URL,abusive_hateful,indirect,anger_disgust,disability,left_wing_people
156,@user yeah very baby mongy,offensive,indirect,anger_disgust,origin,special_needs
157,@user @user @user @user @user @user I'm 26 retard,normal,indirect,anger_disgust,disability,special_needs
158,@user Hurry up faggot I wanna see it,abusive_hateful,direct,anger_disgust,sexual_orientation,left_wing_people
159,When a white says “wassup nigger” because you made a video calling yourself a nigger. @URL,abusive_hateful,indirect,anger_disgust,origin,other
160,cause its utter BS as is the lying feminazi ford. @URL,normal,indirect,anger_indifference,gender,special_needs
161,@user yeah dodge the wager of course shitter and i have a gig up and down retard go get some bruises from your dad,hateful_disrespectful,indirect,anger_disgust,disability,special_needs
162,@user @user A front group for abetting the flocking of illegal aliens to our country. Good riddance.,normal,indirect,anger_sadness_shock_indifference_disgust,origin,other
163,@user @user Probably because you're a weeb faggot,offensive,direct,anger_sadness_shock_indifference_disgust,sexual_orientation,individual
164,these dumbasses really think i'm hurt when they call me chink ching chong or whatever bish i'm not even hurt lmao,offensive,indirect,confusion_fear_indifference_sadness_disgust,origin,women
165,@user Yep; that's the quid pro quo for Peters supporting more refugees,normal,indirect,confusion_fear_indifference_sadness_disgust,other,other
166,yay kelas ching chong today,offensive,indirect,confusion_fear_indifference_sadness_disgust,origin,asians
167,@user We haven't \had a vote\. We had a fraud though. Copying those shithole countries we hear about.,abusive_offensive,indirect,anger_sadness,origin,other
168,Get Schwacked faggot. @user,offensive,indirect,anger_sadness,other,other
169,If you\u2019re a boy and you harass girls in clubs you\u2019re a fucking twat,offensive,indirect,anger_fear_shock_indifference_sadness,gender,women
170,I'm sick of seeing your face on my news feed you cunt.,hateful,indirect,anger_fear_shock_indifference_sadness,other,women
171,@user he kinda looks like a raghead tbh,offensive,indirect,anger_fear_shock_indifference_sadness,religion,other
172,@user calling Africa and Haiti 'shithole countries' is just too wrong,offensive,indirect,anger_sadness_shock_indifference_disgust,origin,other
173,@user @user ...... You weren't calling me a faggot when you were clapping these cheeks nigga,fearful_abusive_hateful_normal,indirect,anger_sadness_shock_indifference_disgust,origin,other
174,Charlie Sloth is a mongy cunt,hateful,indirect,anger_sadness_shock_indifference_disgust,origin,women
175,It's okay to be white #auspol @URL,offensive,indirect,anger_confusion_sadness_indifference_disgust,origin,other
176,@user @user @user @user Say tag the right Denilson spic,fearful_abusive_offensive_hateful_disrespectful,indirect,anger_confusion_sadness_indifference_disgust,origin,hispanics
177,=D =D =D =D =D\nI want this bloke on site (The chinaman)!!! LOL =D =D =D @URL,normal,indirect,anger_confusion_sadness_shock_indifference,origin,other
178,me: *important tangent about chocolate pretzels being retard food*\n\nyou guys: \n\nme: horse foreskin\n\nyou guys: @URL,offensive_normal,indirect,indifference_disgust,disability,special_needs
179,How many of us could keep such a spic n span kitchen if we lived at 8000+ feet without electricity tap water and\u2026 @URL,normal,indirect,indifference_disgust,other,other
180,And she\u2019s from Africa ya know that place where \u201cshithole countries\u201d are located\ud83d\ude44\ud83d\ude44\ud83d\ude44\ud83d\ude44 @URL,abusive_hateful,indirect,anger_sadness_shock_indifference_disgust,origin,indian/hindu
181,@user @user @user Mooooooom! The immigrants broke the laaaaaawwww,offensive,indirect,anger_sadness_shock_indifference_disgust,origin,indian/hindu
182,@user You faggot..,normal,indirect,anger_sadness_shock_indifference_disgust,sexual_orientation,other
183,@user You calling people insensitive! That\u2019s the best tweet of the day.. daft cunt,normal,indirect,anger_sadness_shock_indifference_disgust,other,women
184,Again I found another liberal retard. \ud83d\udc47 @URL,offensive,indirect,anger_sadness_shock_indifference_disgust,disability,special_needs
185,going as pippi longstocking for a halloween event tonight bc shes a ginger who wears dyke attire so i fit the criteria,offensive_normal,indirect,indifference_disgust,sexual_orientation,women
186,@user @user Awe it's retarded....,offensive,indirect,indifference_disgust,disability,special_needs
187,@user i'm not even offended anymore jkfsd like jokes on you you literally went and typed ching chong unironically,offensive,indirect,indifference_disgust,origin,individual
188,@user I don\u2019t play all day\ud83e\udd23\ud83e\udd23\ud83e\udd23you deluded twat omd slap yourself quickly and remove yourself,abusive_disrespectful,direct,anger_shock,other,women
189,a pitchblende is a radius: mongoloid and superindividual,offensive,indirect,fear_shock_indifference_sadness_disgust,origin,special_needs
190,@user What a soulless fucking twat.,hateful,indirect,anger_disgust,other,special_needs
191,pretty much made this just so I can say retard every once in a while,offensive,indirect,anger_disgust,disability,special_needs
192,Black youtubers: will you be demonetized if you say nigger ????? I really wanna say nigger on my channel,offensive,indirect,anger_disgust,origin,jews
193,@user I'm glad to read that a silly spic like me can only ever attain and hold entry level jobs or swing ham\u2026 @URL,fearful_offensive,indirect,anger_disgust,origin,special_needs
194,sorry about that time earls mom yelled at him and called him a furry faggot,offensive,indirect,anger_disgust,sexual_orientation,hispanics
195,#dtmag Border Patrol agents discover nearly 200 illegal immigrants in remote Arizona desert @URL,fearful_normal,indirect,anger_disgust,origin,immigrants
196,I hate this fucjing stupids ass fu king hick town man c nights are fu king retarded still you canes my whole ass goinitxh,abusive_disrespectful,indirect,confusion_disgust,disability,special_needs
197,@user you know cause prominent conservative men are Always ignorant and asking raging liberal feminazi's for… @URL,abusive_offensive,indirect,sadness_disgust,gender,women
198,@user This shooting is totally a leftist setup and an attack on our second amendment rights. Find the perps\u2026 @URL,offensive,indirect,sadness_disgust,other,other
199,@user Thank you so much. We are just another shithole country full of violence and hate but to arrogant\u2026 @URL,offensive,indirect,sadness_disgust,other,other
200,“It’s okay to be white” motion suspiciously delayed @URL,offensive,indirect,sadness_disgust,origin,hispanics
201,@user complete twat you are!,fearful,indirect,sadness_disgust,origin,women
202,\u201cHey Siri!....You twat.\u201d -Tess Horowitz,offensive,direct,sadness_disgust,gender,women
203,This series is even better knowing Machado likes to use \faggot\ as an insult.,offensive_hateful,indirect,sadness_disgust,sexual_orientation,individual
204,@user I would cry if people called me fat I got called faggot and it was annoying but it was whatever but omg if\u2026 @URL,offensive,indirect,sadness_disgust,origin,other
205,This is the sort of thing that happens in a shithole country. @URL,hateful,indirect,shock_disgust,origin,immigrants
206,For your information @user you absolute twat the reason SJWs told me I deserve to get \gaybashed\ was ju\u2026 @URL,offensive_hateful,direct,shock_disgust,gender,special_needs
207,@user Fatlus mainstream now nigger,offensive_hateful,direct,anger_confusion_shock_indifference_disgust,origin,african_descent
208,@user @user @user @user @user @user Who is a men hating feminazi? I… @URL,offensive,indirect,shock_disgust,gender,women
209,LeBron teammates become retarded in big situations,offensive,indirect,shock_disgust,disability,special_needs
210,@user The director must be a retard,offensive,indirect,shock_disgust,disability,special_needs
211,@user Lol. called me out for being a twat didn\u2019t you? :D,offensive,indirect,confusion_sadness_shock_indifference_disgust,gender,other
212,My baby told me I was beautiful with my bare face and nigger Twist @URL,hateful_disrespectful,indirect,anger_fear_indifference_sadness_disgust,origin,individual
213,America will go into official bankruptcy quicker due to the many illegal aliens:,normal,indirect,confusion_sadness_shock_indifference_disgust,origin,refugees
214,Look at this retarded fuckstick @URL,abusive_normal,indirect,anger_confusion_sadness_shock_indifference,other,other
215,@user them: all might probably says nigger when no one is around,offensive,indirect,anger_confusion_sadness_shock_indifference,origin,african_descent
216,In #pedo speak 'hotdogs' means little boys.\n\nSo muslim faggot @user imported a bunch of black kids from Chi\u2026 @URL,offensive,indirect,shock_disgust,other,muslims
217,Armies - I can get Canada Mexico Cuba all of Europe most of Asia all of the shithole countries and even Switze\u2026 @URL,offensive,indirect,shock_disgust,origin,other
218,I'm forced to deal with retarded people everyday.,fearful_offensive_hateful_disrespectful_normal,indirect,anger_sadness_shock_indifference_disgust,disability,special_needs
